Fon,French
A ɖù can ce tawùn,Tu m’as beaucoup offensé.
É zé kokló hɛn nu,Il a pris le poulet dans sa gueule.
Un ɖo hwenuxo xa wε,Je lis des histoires.
Mi ní nɔ́ mɔ̀ miɖéé gbɔ́,Aimez-vous les uns les autres.
fέn - zɛ̀,fendre
A nyí mɛxó nú mì,Tu es mon aîné.
Sinnu gblá sín mì,J’ai soif.
Un ɖò kɛ́n ɖokpó,Ça va comme ci comme ça.
"E wɛ́ zɔ́n bɔ̀, mɛ e ɖò hɛnnu énɛ́ mɛ́ lɛ́ nɔ́ nyí nyikɔ́ tɔ̀n",C'est pourquoi les membres de cette famille portent son nom.
mì nà gó yì măwù gɔ́n,nous irons chez dieu sans crainte
un ɖo hwenuxo xa wε,je lis des histoires
kplɔ́n - kplɔ́nkplɔ́n - kplɔ́n nŭ,apprendre
Kofi wa lobɔ mi yi,Kofi est venu et nous sommes partis .
mì má mɔ̀ nù jɛ́ mɛ́ nɛ́,nous n'y avons rien compris
kplá mɛ yì - kplá mε hὲn yì,mener
wă gɔ̆ sò nú mε,venir au secours
é bló sun atɔn bɔ un bɛ́ azɔ́ ɖo finɛ,ça fait trois mois que j'ai commencé là
"Nŭ a blo ɔ́, é byɔ́ bă",Ce que tu as fait mérite une punition.
e kpé xá,cela convient
azìn susɔ,oeuf sur le plat
bló kléwún,fais vite
sìn ɔ̀ gblɔ́,l'eau est tiède
bill kpodo nyε kpo nɔ ɖɔ fongbe kpodo fransegbe kpo,bill et moi parlons fon et français
E húhwé wŭ yè,Il a été impoli à mon égard.
un ɖo ahan nu wɛ ɖo kɔfo mɛ,je bois dans un verre
E fɔ́tɔ́ galí kpódó azìn kpó,Il a pétri du gari avec des oeufs.
e ɖɔ xó ɖáyi,il avait parlé
un mɔ̀ xɛ̀ gègègégé ɖé lɛ́,j'ai vu une multitude d'oiseaux
hɔnlihέnnú - hɔnlinu - hɔntò,à l'entrée
Asu ce nukɔntɔn ɔ sin vi ɖokpo wε,C'est un enfant de mon premier mari.
tὲn élɔ́ mὲ,ici même
wiimi ɖesu ba un ɖe,je voudrais aussi du miel
Wlĭ bo nú vì ɔ́,Prends soin de l’enfant.
yè wlí ì bɔ̀ é jɛ̀ glŏjò,ils n'ont pas pu l'arrêter
wunda,sourcil
Anɔ̀ tɔ́n sɔ́ ɖó sìn ɖĕbŭ ă,Elle n'a plus de lait.
Bɔ ama tɔn lε ɖo ayi jε wε,Et perd ses feuilles.
Kan ɔ́ gbò,La corde s’est coupée.
Fí tɛ́ é nɔ́ hwlá nù tɔ́n lɛ́ dó ?,Où est sa cachette ?
Un mɔ ɛ ganagana b'ɛ ɖo ajo ja wɛ,Je l'ai pris en flagrant délit de vol
wă bà jŏnɔ̀ mε,venir visiter quelqu'un
E nyɔ din,C’est magnifique.
E nɔ ɖo jijan hwebinu.,Elle est tout le temps occupée
Yi mɔ̀ dotó dó azɔn towe wú,Va consulter un médecin sur ta maladie.
agàságò,crabe
Un hεn sinsin ɖo sin zozo litli ɖokpo mε,Je la fais fondre dans un litre d'eau chaude.
fàn gi nù,délayer de la pâte de farine de maïs dans de l'eau
Ye gba agɔnkε lε e,Les cocos sont cueillis.
"Eεn, xεvi kpεvi, ɖu lee jlo wε gbɔn ɔ","Oui, petit moineau, mange suivant ton appétit"
Mɛ we ku ɖo awovi ɔ mɛ bɔ mɛ afɔtɔn gble wu,L'accident a fait deux morts et quinze blessés.
Jlo towe ni nyi wiwa ɖo jixwe kpodo ayikungban kpo ji,Ta volonté soit faite sur la terre comme au ciel.
Mi ɖo na tɔn,Nous étions obligés de sortir.
un nyi mɛxo n'i,je suis plus âgée qu'elle
Adɔgo tɔn cí bitiì,Son ventre est ballonné.
Un j’ajo dó tɔ́ cè,J’ai volé mon père.
Un gbɔ ɔ nɔ zan ji nu azan we ɖo lɛnkpɔn ɖe wutu,J'ai dû rester deux jours au lit à cause d'un mauvais rhume.
"Alɔ tɔn jlɔ ă, e nɔ mɔ nu ganji ă",Il est maladroit.
Bo nɔ kupe bo nɔ na hwenu e e jlo e do ɔ,Et on coupe et on donnera quand on veut.
A ! Un ɖo asi sukpɔ din !,Ah ! J'ai beaucoup de femmes !
E ɖibla blo xwe we,Il y a presque deux ans.
azàn vì élɔ́ lɛ́ mɛ̀,ces jours-ci
E blo gadagada bo j'ayi,II a fait un zigzag et est tombé
Wɔ̀ kɛ́ɖɛ́ jɛ́n a ná ɖù,Tu mangeras uniquement de la pâte.
Etɛ́ wú é kɛ̀ nu dó nú wè ?,Sur quoi t'a-t-il fait des reproches ?
A na yì fí ɖé à ?,Iras-tu quelque part ?
Gbɔná kɛ́ɖɛ́ ɖò gle ce mɛ̀,Il n'y a que des broussailles dans mon champ.
e ze finɛ wu kpɛɖe ɔ tɔ sisa ɖokpo ɖo finɛ,peu après il y a un lac
un jló ná kàn nùɖé byɔ́ wè,je voudrais te demander un renseignement
É yì gbè nyá gbé,Il est allé à la pêche.
kpó ayi kpó,volontiers
"Akansán, akasá",Pâte de farine de maïs
bo yì,va
vì cé kó zìn ă,mon enfant n'est pas encore durci il est encore bébé il n'est pas sevré je ne puis avoir déjà des relations sexuelles avec mon mari
Etε wutu mi ɖo awajijε mε ?,Pourquoi êtes-vous heureux ? 
É húzú - Dàndàn !,C’est changé - Sûr !
wemaxixa ɖagbe wε,c'est un livre intéressant
gan atɔn e kpo ceju wo we,il est 2 h 40
é sɔ́ kpò ɖò fí ɖé ă,il n'y en a plus ailleurs
Un ɖo saɖi wε ɖo xu to,Je me promène au bord de la mer.
É kú ò ?,Il est mort ?
wɔ̀ ɔ́ zun sìn,la pâte est trop liquide
mi mɔ xɔ dagbe lε ɖo gbeɖutεn lε,nous avons trouvé des chambres d'hôtes très confortables
dăn hùn - wă yì - xwè - yì - zún dó,aller
nù tɛ́ lɛ́ mì nɔ́ kán wezun jɛ̀ gudó ná,après quoi courons
e sìxú mɔ̀ nù jɛ́ mɛ̀ ganjí ă,c'est imprécis
un mɔ mi sɛ́ dó ɖ'alixò,je vous ai aperçu sur le chemin
jinukún kó myá go ɖò gle mɛ̀,les champs sont mûrs pour la moisson
Mε lε nɔ ɖɔ mɔ.,Les gens disent ainsi
Ye nɔ ylɔ ɛ ɖɔ President Yayi Boni,Il s’appelle Président Yayi Boni
Johɔn kpo ɖo nyinyi wɛ,Le vent continue à souffler.
avɔlinlɔn,tissage
Tɔ́ tɔ́n yí wan n’í tlálá bó tɔ̀ awu ɖagbe ɖagbe ɖokpó n’í,Son père l’aimait beaucoup et lui fit faire un bel habit.
adan gbó mì,je suis dans le malheur
blŏ d'é jí - blŏ do é jí,agir selon ce qu'on dit
e sɔ nɔ ɖɔ xo ă,il ne parle plus
Nε mi nɔ gosin dɔn gbɔn xwe ɖokpoɖokpo mε ?,Comment est-ce que vous descendez là-bas chaque année ?
ajɔ towé ɖie,voici ton cadeau
Ye ɖo ayijε wε sin atin ɔ ji.,Elles tombent de l’arbre
É ɖò àɖùmá tɛ́ wɛ̀,Il se mord les lèvres.
fofó cé hɛ́n alɔ ce cawùn,mon grand frère a saisi ma main d'un seul coup
ɖɔxátɔ́ cé lɛ́ bì kó kú un sɔ́ ɖó mɛɖé ă,mes conseillers sont tous morts je n'ai plus personne
mi sísɛ́ zokɛ́kɛ́ ɔ́ dɛ̆dɛ̆,poussez doucement la moto
un na kpo nu,j'en boirai encore
wa bo klɔ agban elɔ lɛ nu mi,viens et lave
Wiin ɔ jε te ɖo folo ɔ ji,L’abeille se posa sur la fleur.
Un mɔ yɔkpɔ ɖe b'ɛ do togbe gblaja ɖe to mɛ,J'ai vu une fillette qui avait de grands pendants d'oreille
abă,bras
"Ɖo nu a mɛte ɖo ganji a, yi dotooxwe bo gbɔjɛ, dawe wɛ nyi a mɛ ɖiɖo, e sin xomɛ","Puisque tu es malade, va aux soins et repose-toi, parce que le patron est en colère."
a yă wù wá,tu es venu vite
Un sìxú kpɔ́n mɛ́ nú wè ă,Je ne peux m'occuper de toi.
e và yɛhwexɔmɛ̀,il a décoré l'église
Xó nɛ́ ɔ́ dɔn hwɛgbe ny’àyĭ,Cette parole provoqua une querelle.
Nuɖe un blo ɔ nε.,C'est ce que j'ai fait !
wa ɖu nu e ya ɔ a na fo,viens manger tu finiras après
un ɖo akɔnkpikpan ă,je n'ai pas de courage
é ɖ'alɛxo ja,il vient sur le chemin
feví ɔ́ hlɔ́n,le gombo est dur
ali ɔ xá,le chemin se rétrécit
Bo ylɔ vi tɔn lε,Et appela ses enfants.
co bɔ sin wa mɔ we,avant de t'avoir vu
e nu vɛɛn ɖee un hɛn wa ɔ wɛ a,a
Wiimi ɖesu ba un ɖe,Je voudrais aussi du miel.
Ɖo xwe gbe ɔ,A la maison.
"Mεsi ɔ nɔ kplɔn mi yεhwexixa, mawusεn lε, nuxixa, nuwlanwlan, akɔntabiblo kpo hanjiji kpo","L'instituteur nous enseigne la prière, le catéchisme, la lecture, l'écriture, le calcul, le chant ."
Cuku lɛ do xɛsi nu xɛ lɛ,Les chiens font peur aux volailles.
nù tɔ́n ɖò wŭ tɔ̀n,il a des boutons
Nu a jlo na tuun nugbo ɔ,"Bon, si tu veux vraiment savoir."
e ɖó glŏ tɔ̀n,il a son amulette de défense
azɔwatɔ bibi lε nɔ w'azɔ ɖagbe blewun,les ouvriers habiles travaillent vite et bien
a kú gàn kpó xóɖíɖɔ́ kpó,tu parles à tort et à travers
nú dè ɔ̀ myá e nɔ sìn bó nɔ́ kpà,si le régime est mûr on le coupe et on le taille
Flín sɔ̀ gŭdò,Pense à l'avenir.
dŏ hŭn,voyager en pirogue ou en voiture
Un na ɖɔ xo nε ɖo tεnigbe,Je lui en parlerai dès lundi.
Un ɖi a.,J'en doute
Xwegbaja hɔn mɛ…,Dans le palais de Xwegbaja
mɛ elɔ nyɔ ɖɛkpɛ hu mɛ enɛ,celui
bowunbá - kamizáà,boubou
glɔ̆ - mεɖomεsí,inférieur
Jo e do xwii,Laisse-le tranquille.
Vì lɛ́ bì ná ná nùjɔ́ dó wà xwetanú,Tous les enfants donneront leur cotisation pour faire la cérémonie de fin d’année.
e ɖíè ehɔ́nmɛ́ ɔ́ un sɔ́ ɖɛ̀ kpódó nududo kpán ɖo nukɔn nú mi,voici que je vous présente aujourd'hui la bénédiction et la malédiction
Yovo lɛ nɔ ylɔ ɖɔ corruption,Les Yovos appellent cela corruption.
E vivi tɔɔn,C'est trop doux (écoeurant)
Gbe tɔn xlá,Sa voix est rauque.
e nɔ́ xo kan dó gbɛtɔ́,il est très dévoué
Co e w'azɔ mε,"Pourtant, il est venu au travail"
é ɖò hɔntò,il est près de l'entrée
Amlɔ sin azɔn,Maladie du sommeil.
Un ɖo maga xεlu kpεvi ɖu wε kpodo jivi ɖiɖa kpo ɖo atin sa ɖo alito.,Je mange une petite mangue verte avec un couteau tranchant sous un arbre au bord de la route 
Fi ɖetε sin mε lε,Les gens de quel endroit ?
Kú dó lè hwenu,Salut pour le moment présent.
e ji vijɔvi,il a engendré un enfant normal
sὲ - sὲ sín - sὲ tὲn,se déplacer
nyɔnu lɛ kpo sunnu lɛ kpo ɖo wemaxomɛ ayi jɛ tɔn mɛ,les garçons et les filles sont au cours élémentaire
A ɖo azɔ towe fo wε.,Tu finis ton devoir
Asi ɔ lɛ,"Epouses-ci, les épouses-là."
Hàn sísá ɖíè,Voici un verrat castré.
Eo ya a,Pas encore
Hεn we,Blanchir
Tɛnkpɔn bo wa xwe gbe cobɔ nu zan ni ku,Essaie de rentrer avant qu'il ne fasse nuit.
É jɛ̀ tamɛ lin kpɔ́n jí,Il se mit à réfléchir.
Gannu alanɔ ɖokpo ɖie.,Voici une assiette en plastique 
Mi nɔ̀ gbekplígbekplí xá miɖéé,Restez bien en accord entre vous.
É ɖò tɔ́ntlɔ́ngbɔ́n dɔ̆n,Il est au premier rang là-bas.
e na yi kpodo nyε kpo,il partira avec moi
Saɖitɔ lε ɖo zun ɖaxo ɔ mε.,Les promeneurs sont dans la forêt
Akpa tɔn gbɔ̀,Sa plaie est guérie.
Un nyi ganbloɖotɔ,Je suis horloger
gùfɔ́ntɔ́ - todantɔ́,rebelle
un nyí alɔnugbɔ́ví tówè ă,je ne suis pas ton esclave
Đo ye vε sin Đɔ mi su akwε gbo wε sin,Parce qu'ils pensent que nous sommes mal payés.
e jɛ gbàn,il est goitreux
E vε wu a,Ce n’est pas grave
lĕe é ɖé gbɔn din ɔ nɛ́,voilà comme c'est maintenant
Nu tε a ɖu nu zanzan nuɖuɖu ?,Qu'as-tu mangé au petit-déjeûner ? 
Yé ná hɔn atinta sin gle mɛ,Ils arracheront une souche du champ.
Đabiblá tówé nyɔ́ ɖɛkpɛ̀,Ta coiffure est belle (pour une femme).
e hɛ̀n atín ɔ́ já,il a coupé l'arbre en morceaux
asi nɔ̀ - asú nɔ̀,belle-mère
Sukpɔ kpikpo ɖokpo kple vi tɔn atɔn lε bo ɖɔ nu ye ɖɔ,Une vieille mouche réunit ses trois enfants et leur dit
Mi nɔ ɖu nu kpodo azinzɔnnɔ kpo,On mange avec le malade .
Un ba do kpo nà,Je n'ai rien compris.
É xo dɔjɔ azɔ̀ azɔ̀ tɔ́n wú,Il a négligé son travail.
glă dŏ mε wŭ,oser aborder quelqu'un
Sɛ cyɔ d'akpagbe,Enterrement provisoire.
Cavi wɛ,C’est la clé.
a bló ganjí,tu as bien agi
e jɛ kpòlí,elle s'est agenouillée
Etε a ɖu ?,Qu’as-tu mangé ?
Sunzàn ɖokpó ɖíè,Il y a un mois.
Etɛ́ ká wà Lazáà ?,Qu’est-il arrivé à Lazare ?
un ɖo ama xuxu le bε wε bo nɔ kple ye ɖo kɔxota,je ramasse les feuilles mortes et je les entasse dans la cour
Un nɔ w'azɔ ajɔxwe ɖe,Je travaille dans un magasin.
Un vɛ dó a na mɔ ɛ wɛ sín,Je croyais que tu l’aurais vu.
Mi d'ayihun ganji a ?,Vous vous êtes bien amusés ?
A na ba wemasunsunnu ɔ bo na mɔ,Tu cherches la gomme et tu la trouves.
tcho adǎn gbomi,quel malheur
mi na xwe do nukplɔn mɛ towe lɛ,nous suivrons tes conseils
Bì wé,Il est tout blanc.
atinsinsεn ɖo kɔgbεn ɔ mε,il y a des fruits dans le bocal
Un xwe yi gbe,"Je m'en vais, je suis sur le départ"
"A ɖɔ nu mi ɖɔ a na ɖo wemaxixatɛn, a ka ɖo finɛ ă","Tu m'as dit que tu serais à la bibliothèque, or tu n'y étais pas."
Pipan vo,Un train spécial
"Nu e ma nyi hwε a, hun nɔvi towe wε.","Si ce n'est pas toi, c'est donc ton frère"
xò tɔ̀,se débattre pour se défendre maladroitement
agbade hwán,le maïs est vigoureux
kilo kanɖe gban nukun atɔɔn jεn un nɔ da,je pèse seulement 75 kg
un na sɛ́ wèmá élɔ́ dó nɔ̀ví cé gbɔ̀n pósù,j'enverrai cette lettre à mon frère par la poste
e nɔ da ayihun ɖebu a,il ne joue pas du tout
nùdòwá ɖɔ́ a ɖè,tu racontes des histoires
e nɔ se mɛsi ɔ sin xo lɛ bi,il écoute toutes les paroles du maître
É kú bò,Il est mort de soif.
Dò ɔ́ mù,Le mur s'est écroulé.
dekanmɛvi jiji,originaire de dékanmey
Un ɖo wezunkan wɛ ɖo ji mɛ,Je cours sous la pluie.
Un nɔ nyi Jan,Je m’appelle Jean
etɛ́ ká ɖiè,qu'est
Xwe nabi wɛ John kpodo Jenny kpo ɖo ?,Quel âge ont John et Jenny ?
"Nya nu azɔ gbɔn Awaji. – Ji ma ja hun, ma ɖe ji o ! ","Un homme fume en passant par la porte d’Agwaji. – Comme il ne pleut pas, ne sois pas téméraire."
É zɔ́n agban ɔ jí bó wá xwé,Elle a fait le voyage en veillant sur la marchandise et est venue à la maison.
tɔ ce yi gbenyinya,mon père est à la chasse
nă anɔ̆ - n'anɔ̆,allaiter
ani mɛ tɔ́n ɖé wɛ̀ a ɖè,de quoi te mêles
slé,onomatopée imitant sans doute le bruit de la salive projetée entre les deux incisives supérieures
nɛ̆ a ka kpan vì ɔ̀ gbɔ́n nɛ́,comment portes
Mawu na kpɔn we,Que Dieu te garde
dŏ hε̆n mε,insulter gravement quelqu'un en le calomniant
A kpé xá mì,Tu t’es mesuré à moi.
Xɔ lan ɖe,Il y a de la viande d'agouti
mì nà húzú xɔ́ntɔ̀n,nous allons devenir amis
Yè gbó é dó d’ajo kɔ̀n,Ils l’ont surpris en flagrant délit de vol.
ablo,as-tu fais
Ma lɔya ɖɔ o,Ne dis pas de blagues .
Eye wɛ ji han,C'est lui qui a chanté
Hwenahwéná nɔ́ hwe nú hwenahwena ă,On ne prête pas à autrui ce qu’on a emprunté.
Vɔ̀ xó nɛ́ ɔ́ ɖɔ́ nú mì,Redis-moi ce mot-là.
vĭ tɔ̀n gùdó tɔ́n wɛ̀,c'est son dernier enfant
E ɖo wɔxuxu ɖu wε.,Il mange du pain 
xò nyì kέn,mettre à part
sεniyɔ̆ - sεnuyɔ́,petits morceaux de paille accumulés après la couverture d'une case
kpàn nukɔ̀n,regarder vis à vis
nu xovɛ sin ye ɔ xɛvi lɛ nɔ ɖu dovɔn,quand ils ont faim les oiseaux mangent des vers
E ɔ ya !,Déja !
a se à,comprends
ajotɔ́ baláwò ole ole,voleur fieffé voleur voleur
dan nɔ do nu nu mɛ,le dieu sème la richesse
kúkú ɖε̆,bégayer
E nɔ do gbe nu aligbɔntɔ lɛ ɖo ali ji,Il salue les passants en chemin.
e bló távo ɔ́ b'ɛ́ cí kicaà,la table qu'on a faite est toute de travers
mi yi tlele kaka yi fi ɖe ye nɔ blo wɔxuxu ɖe ɔ,continuez tout droit jusqu'à la boulangerie
un nɔ mɔ nu kpodo nukun ce lε kpo,je vois avec les yeux
un ma bló nɛ́,je ne l'ai pas fait
Bɔ ama lε ɖo hunhun wε.,Et les fleurs s’ouvrent
"Miam, e ɖi nu vivi","Miam, ça a l'air délicieux"
Hwetεnu mi na jε dɔn ?,Quand arriverons-nous là-bas ?
Egbé ɔ́ teví kpɔ̀,"Aujourd’hui, l’igname est à bon marché."
gbɛ ɔ́ sìxú mlɛ́ te ɖo nukɔn cè ă,le groupe ne peut pas rester debout devant moi j'ai pouvoir sur eux
É kpé tú mɛ,Il visa quelqu’un de son fusil.
mi hun wema mitɔn lε,ouvrez vos livres
é fɔ́n sín ayìkúngban bó xwe te bo jɛ̀ zɔnlin jí,il se leva de terre se tint debout et se mit à marcher
e gbɛ agɔnde lɛ bo bɛ yi aximɛ,les ananas furent cueillis et portés au marché
bεninu wε a nyi à,es
a ná yi ɖò nyi ce tamɛ̀,tu vas y aller à ma place
Kɛ́njí ɖò jija wɛ̀,Il tombe de la grêle.
Un mɔ ɖɔ ayihun nu wε,Je trouve que c'est plus amusant.
akan ati ɖokpo,un sac de charbon
Glexwe nyi toxo kpεvi,Ouidah est une petite ville
E jɛ́ xá ganjí,Cela convient parfaitement.
xesì jɛ̀ mɛ jĭ - xò avivì,être effrayé
avɔ vun nyaɖe bɔ e jla ɛ fula,a un quidam aux habits déchirés on vient proposer un chapeau
Xεvi kpodo sɔ kpo,Le moineau et le cheval
gbè xólóló mɛ̀ - gbèxólólómε - gbèxómὲ,dans le désert
N’abɔ̀ɛ bó tɔ́n sín dawe élɔ́ lánmɛ̀,Tais-toi et sors de cet homme.
Yakpɔ́vú lɛ́ ɖò akpá nyi wɛ̀,Les enfants font la roue.
un sɛ yì gɔ̀n tɔ́n bó kpɔ́n ɛ̀,je l'ai regardé de près
Ali nukɔnnukɔntɔn do amyɔ mε nyi ye ze.,C'est la première rue à gauche après le feu rouge 
Mε ɖokpo nyi 'atrice' ɖo ye mε.,L’une d'elles est actrice 
ma ze wemaxixa enɛ ɔ o ze ɖe ɖo aga ɔ,"ne prends pas ce livre, prends celui qui est au-dessus"
ahan tɛ ba a ɖe,quelle boisson veux
xwè nŭ ɖɔ̀,parler à l'excès
Bo yi !,Tiens donc !
Nùsúnnú yeɖé,La sauce est bien assaisonnée.
awii ɖe lɛ,des chats
gbɔ hɛn,des moutons gardés
Mɛ ɖe a ze ɔ jlo mi a,Celui que tu as choisi ne me plaît pas.
Ye gble wu ye ɖe le,Ils se sont blessés.
E bló hŭn,"Il l’a fait, bien sûr."
É ci mì,Il me fatigue.
"A na mɔ awa, a na mɔ ajajaxu bɔ e na ɖo vovo.","  Tu vas voir des bras, des côtes rangées qui seront par groupes."
azɔ̀ élɔ́ ná má wè,tu t'habitueras à ce travail
Sɔ xà wà nú mì,Apporte-moi un panier.
o e tin nu ɔ mɛ,oh ceci explique cela
é nyi gɛ̀n,il a fait une poussée en avant de l'organe en érection
Sɔ gbadanu jɛ́n é wá,Il est arrivé seulement hier soir.
E nɔ lɛ gle,Il cultive le champ
"Mi sɔ kɛ mi, fitɛ wulɛkpa lɛ ɖe ?","Excusez-moi, où sont les toilettes, s’il vous plaît ?"
E jì vì kpɔ́n ă,Elle n'a jamais eu d'enfants.
Ze jiví bo sɛ́n lan ɔ,Prends le couteau et coupe-là.
a se glensigbe wɛ à,parles-tu anglais
Jɔhɔn gugu wɛ ɖò nyinyi wɛ̀,C'est la tempête.
ɖò bìbέ mέ ɔ́,depuis le commencement
azɔ nɔ bε ɖo gan tantɔn mε,les cours commencent à huit heures
Un nylɔ ye ɖo sin ɖe hun agban ɔ mɛ nu nukun hwihwe afɔtɔn,Je les avais plongées pendant quinze secondes dans l'eau bouillante.
É ɖò atín tɛ́ntín,Il est au coeur du bois.
A se hwenuxo gudo tɔn à ?,Tu as entendu la dernière histoire ? 
Hwetεnu a na yi azɔmε ?,Quand iras-tu a l’école ? 
wà ɖíɖá agban ce ɖó zokɛkɛ́ jí,viens charger mon bagage sur la moto
"Axi, e, ye nɔ ylɔ ɖɔ Dantɔkpa","  Le marché, on l’appelle Dantokpa"
é nyɔn un ko sé,okay c'est entendu
a na sɔ́ atɔn vlɔ́ ɖó,tu prendras le tiers
Mɛ bì yí hàn ɔ́ soò,Tout le monde a pris le refrain avec enthousiasme.
é tɔ́n dó jĭ cè,il est apparu soudain devant moi
un na yi yovotomε kpo na sε do wema nu mi kpo nuɖagbe lε,je retourne aux usa et je vous enverrai des lettres et des cadeaux
Mε bi wε nɔ si,Il est respecté de tous .
do hwe enɛ ɔ nu ɖo xwe ɔ mɛ ɔ mi sɔ na ɖo hweyivɔ sin atinkɛn sin hu do a,à cette époque de l'année vous n'aurez pas besoin de produit solaire
Xwé fɔ́n,Les gens de la maison sont réveillés.
nyaví ɔ́ kú winnyá bo gbɔ nǔ ɖù,cet enfant n'a pas mangé par timidité
ayikúngban ɖagbe wɛ̀,c'est une bonne terre
Yi jɛ̀ nukɔn tɔ̀n bo d'álɔ ɛ̀,Va au-devant de lui pour l'aider.
ani a na sɔ́ nɛ́ ɔ́ dó bló ná,qu'est
aɖì nɔ̀ dó mì,je suis dans la peine
Akpɔ́kpɔ́ ɖò jí dín,Le ciel est très nuageux.
ká ɖò hɔn yi wɛ à,la calebasse est
kpàn nukɔ̀n,devant en face
Akɔn wɛ un ɖè,J'étais sur les genoux.
é yí gbe n'í ganjí,il a accepté volontiers
Mi ɖ’álɔ tè,Arrêtez le travail.
e ɖo azɔ nu wɛ hwenu ɖe un byɔ xɔ mɛ ɔ,il fumait une cigarette quand je suis entré dans la pièce
dε - élɔ́ - énέ,cette
mĭnɔna - nyɔ̀núxwémὲ - tù,sexe féminin
afɔ̀ - getέ,jambe
nù é bló ɔ́ yì xúlwé cé mɛ̀,ce qu'il a fait m'a beaucoup touché
a xo ɔ ni wa ɖi,si tu pries que cela devienne efficace
Dan ɔ byɔ zunkan ɔ mε.,Le serpent a rampé dans l’herbe 
Mi sixu lɛ ɖɔ a ?,Vous pouvez répéter ?
Xo mε kpodo ba kpo,Frapper avec un outil .
đó wɔ̆ ado jí,fais chauffer la pâte
nùbláwùnú - nùvὲnúmε - xomɛmahùn - yà,affliction
Vi nukɔntɔn,Le premier enfant
e sìxú xò fló go ɖò wŭ wè ă,il ne peut rien faire contre toi même pas prendre l'écorce
Mɛɖubomi ce wɛ̀,C’est mon bien-aimé.
Yi dotoxwe,"Va à l'hôpital, va au dispensaire"
"Flɛsɛ́ɛ, flɛtɛ́ɛ",Fenêtre
hwlέn kàn xá mε,forcer une femme à commettre un adultère
Yè nábɔɛ́ tóó bó ná dó sà xó tɔ́n ɖíɖɔ́ lɛ́,Ils firent silence pour l’entendre parler.
Azɔmεvi lε na ɖe ayihunmlimli ɖokpo.,Les élèves vont dessiner un ballon 
A ɖò titewungbe à wɛ́ à ?,"Est-ce que tu as bu, tu n’arrives pas à te tenir droit ?"
E su hu i azɔn we,Il est deux fois plus grand que lui.
"Akwɛ́, vĭ, asú, asì, lanmɛ ɖagbe, nukɔnyiyi ɖò nù lɛ́ mɛ̀ kɔ́n nɔ́ ná mĭ nyɔná nú tɛgbɛ à ?","L'argent, l'enfant, la femme, le mari, la santé, le succès nous rendent-ils vraiment heureux et pour toujours ?"
gaan w'ɛ ɖè,c'est évident
é wá hùn kpɔ́n gbé,il est venu pour voir le tam
mì kó sɛ́ kpɔ́,nous approchons de
Vi elɔ,"Cet enfant, cet enfant-ci."
E nɔ nyi Pie,Il s'appelle Pierre.
Un zɛ n'í,Je l'ai évité.
Găn ɖè nɔ́ kp'acɛ ɖò Sɛhwɛ é wɛ́ zɔ́n mì,C'est le chef qui commande à Sèhouè qui me l'a demandé.
Un ɖo sa ɖi wɛ gbɔn to ɔ mɛ wɛ,Je visite la région.
Gan nabí wɛ́ xò ?,Quelle heure est-il ?
gbenyatɔ ɔ gble wu asɔkle lɛ,le chasseur blesse les perdrix
Un gɔ́ xò,Je n’ai plus faim.
E zɔn mi ɖɔ ma kplɔn kponɔ lε sin cuku enε ɔ.,On m'a demandé de dresser ce chien policier 
Káká yì,Jusqu'au bout.
atín é ɖo xásá ɖó wɛ́ ɔ́,l'arbre qu'il était en train d'entourer d'une palissade
Un yi wan nu ahan ă,Je n’aime pas boire.
Gan tɔn mε ɖe ye wlan gbɔn ɔ.,"À minuit, comme il est écrit sur l'horaire, mon ami"
agbò - lὲngbɔ́sú - lὲnsú,bélier
